ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-09-06,42.110896861634735,-130.86270692286962,154.4009480146447,42.110896861634735,42.110896861634735,-22.955171010324555,-22.955171010324555,-22.955171010324555,-3.8651532417350984,-3.8651532417350984,-3.8651532417350984,-19.090017768589455,-19.090017768589455,-19.090017768589455,0.0,0.0,0.0,19.15572585131018
2023-09-07,42.03481933663227,-115.80358059865137,163.04802814897286,42.03481933663227,42.03481933663227,-22.249612278165024,-22.249612278165024,-22.249612278165024,-5.858566260012753,-5.858566260012753,-5.858566260012753,-16.39104601815227,-16.39104601815227,-16.39104601815227,0.0,0.0,0.0,19.785207058467243
2023-09-08,41.958741811629785,-112.1751780269543,160.78217069325393,41.958741811629785,41.958741811629785,-22.61252567465101,-22.61252567465101,-22.61252567465101,-9.041036667120437,-9.041036667120437,-9.041036667120437,-13.571489007530577,-13.571489007530577,-13.571489007530577,0.0,0.0,0.0,19.346216136978775
2023-09-09,41.88266428662732,-105.90427211408661,172.63698225683777,41.88266428662732,41.88266428662732,-12.83986032232404,-12.83986032232404,-12.83986032232404,-2.1366068311331174,-2.1366068311331174,-2.1366068311331174,-10.703253491190923,-10.703253491190923,-10.703253491190923,0.0,0.0,0.0,29.04280396430328
2023-09-10,41.80658676162485,-111.28146947942876,166.575732746803,41.80658676162485,41.80658676162485,-11.921627793316818,-11.921627793316818,-11.921627793316818,-4.065773718757819,-4.065773718757819,-4.065773718757819,-7.855854074558999,-7.855854074558999,-7.855854074558999,0.0,0.0,0.0,29.884958968308034
2023-09-11,41.73050923662237,-97.57362339140134,174.98973389404938,41.73050923662237,41.73050923662237,-4.400906026882145,-4.400906026882145,-4.400906026882145,0.6938632187460345,0.6938632187460345,0.6938632187460345,-5.09476924562818,-5.09476924562818,-5.09476924562818,0.0,0.0,0.0,37.32960320974022
2023-09-12,41.6544317116199,-80.38659149343945,188.80474580642436,41.6544317116199,41.6544317116199,21.793325242914335,21.793325242914335,21.793325242914335,24.27327349999939,24.27327349999939,24.27327349999939,-2.4799482570850526,-2.4799482570850526,-2.4799482570850526,0.0,0.0,0.0,63.447756954534235
2023-09-13,41.57835418661743,-107.3782002544273,177.83619847590674,41.57835418661743,41.57835418661743,-3.9296574584070627,-3.9296574584070627,-3.9296574584070627,-3.8651532417495447,-3.8651532417495447,-3.8651532417495447,-0.06450421665751795,-0.06450421665751795,-0.06450421665751795,0.0,0.0,0.0,37.64869672821037
2023-09-14,41.50227666161495,-96.85342116504565,167.88474671423393,41.50227666161495,41.50227666161495,-3.7521893311064702,-3.7521893311064702,-3.7521893311064702,-5.858566259992844,-5.858566259992844,-5.858566259992844,2.106376928886373,2.106376928886373,2.106376928886373,0.0,0.0,0.0,37.75008733050848
2023-09-15,41.42619913661248,-110.07712471861822,171.15395160517406,41.42619913661248,41.42619913661248,-5.044748452220691,-5.044748452220691,-5.044748452220691,-9.041036667103455,-9.041036667103455,-9.041036667103455,3.9962882148827625,3.9962882148827625,3.9962882148827625,0.0,0.0,0.0,36.381450684391794
2023-09-16,41.350121611610014,-79.55417142962058,173.5083948961881,41.350121611610014,41.350121611610014,3.441591063741087,3.441591063741087,3.441591063741087,-2.136606831129814,-2.136606831129814,-2.136606831129814,5.578197894870901,5.578197894870901,5.578197894870901,0.0,0.0,0.0,44.7917126753511
2023-09-17,41.27404408660754,-88.499111582967,178.165523306385,41.27404408660754,41.27404408660754,2.769007222565963,2.769007222565963,2.769007222565963,-4.065773718745287,-4.065773718745287,-4.065773718745287,6.834780941311251,6.834780941311251,6.834780941311251,0.0,0.0,0.0,44.0430513091735
2023-09-18,41.19796656160507,-91.19432215722011,186.87055815728115,41.19796656160507,41.19796656160507,8.452347243132026,8.452347243132026,8.452347243132026,0.6938632187171854,0.6938632187171854,0.6938632187171854,7.758484024414841,7.758484024414841,7.758484024414841,0.0,0.0,0.0,49.650313804737095
2023-09-19,41.121889036602596,-74.3218352798257,210.3578745850098,41.121889036602596,41.121889036602596,32.62460296430382,32.62460296430382,32.62460296430382,24.273273500017126,24.273273500017126,24.273273500017126,8.351329464286687,8.351329464286687,8.351329464286687,0.0,0.0,0.0,73.74649200090641
2023-09-20,41.04581151160012,-107.27877493699684,180.68566402763926,41.04581151160012,41.04581151160012,4.75931740857362,4.75931740857362,4.75931740857362,-3.865153241771441,-3.865153241771441,-3.865153241771441,8.62447065034506,8.62447065034506,8.62447065034506,0.0,0.0,0.0,45.80512892017374
2023-09-21,40.96973398659765,-99.05646284933042,175.6943364841967,40.96973398659765,40.96973398659765,2.7389516869704975,2.7389516869704975,2.7389516869704975,-5.858566260001544,-5.858566260001544,-5.858566260001544,8.597517946972042,8.597517946972042,8.597517946972042,0.0,0.0,0.0,43.70868567356815
2023-09-22,40.893656461595185,-90.87693861495706,179.52644860818876,40.893656461595185,40.893656461595185,-0.7433766864235696,-0.7433766864235696,-0.7433766864235696,-9.041036667124708,-9.041036667124708,-9.041036667124708,8.297659980701138,8.297659980701138,8.297659980701138,0.0,0.0,0.0,40.15027977517162
2023-09-23,40.8175789365927,-97.59142830084352,192.99980364280577,40.8175789365927,40.8175789365927,5.622003446290341,5.622003446290341,5.622003446290341,-2.136606831093829,-2.136606831093829,-2.136606831093829,7.75861027738417,7.75861027738417,7.75861027738417,0.0,0.0,0.0,46.439582382883046
2023-09-24,40.741501411590235,-99.5940802298227,178.5458352967826,40.741501411590235,40.741501411590235,2.9536396391652002,2.9536396391652002,2.9536396391652002,-4.065773718732754,-4.065773718732754,-4.065773718732754,7.019413357897955,7.019413357897955,7.019413357897955,0.0,0.0,0.0,43.69514105075544
2023-09-25,40.665423886587774,-82.6920128412061,183.01202070932706,40.665423886587774,40.665423886587774,6.817010724989337,6.817010724989337,6.817010724989337,0.6938632187579769,0.6938632187579769,0.6938632187579769,6.12314750623136,6.12314750623136,6.12314750623136,0.0,0.0,0.0,47.48243461157711
2023-09-26,40.5893463615853,-65.79510641193848,206.91675161503625,40.5893463615853,40.5893463615853,29.38883692289152,29.38883692289152,29.38883692289152,24.273273500004475,24.273273500004475,24.273273500004475,5.115563422887047,5.115563422887047,5.115563422887047,0.0,0.0,0.0,69.97818328447681
2023-09-27,40.51326883658283,-102.19457214255993,182.92943452049087,40.51326883658283,40.51326883658283,0.1785455892648825,0.1785455892648825,0.1785455892648825,-3.865153241696983,-3.865153241696983,-3.865153241696983,4.043698830961865,4.043698830961865,4.043698830961865,0.0,0.0,0.0,40.69181442584772
2023-09-28,40.437191311580364,-88.78867040328055,174.42601788305055,40.437191311580364,40.437191311580364,-2.904057454235022,-2.904057454235022,-2.904057454235022,-5.858566260010245,-5.858566260010245,-5.858566260010245,2.954508805775223,2.954508805775223,2.954508805775223,0.0,0.0,0.0,37.53313385734534
2023-09-29,40.36111378657788,-109.85622583448666,166.44238429949135,40.36111378657788,40.36111378657788,-7.147486488256848,-7.147486488256848,-7.147486488256848,-9.041036667063619,-9.041036667063619,-9.041036667063619,1.893550178806771,1.893550178806771,1.893550178806771,0.0,0.0,0.0,33.213627298321036
2023-09-30,40.285036261575414,-97.86875924740961,170.41183466282243,40.285036261575414,40.285036261575414,-1.2328509492670798,-1.2328509492670798,-1.2328509492670798,-2.136606831159576,-2.136606831159576,-2.136606831159576,0.903755881892496,0.903755881892496,0.903755881892496,0.0,0.0,0.0,39.05218531230833
2023-10-01,40.20895873657293,-107.74752026147719,162.005986563862,40.20895873657293,40.20895873657293,-4.0414420825503505,-4.0414420825503505,-4.0414420825503505,-4.065773718767773,-4.065773718767773,-4.065773718767773,0.0243316362174231,0.0243316362174231,0.0243316362174231,0.0,0.0,0.0,36.16751665402258
2023-10-02,40.132881211570464,-87.14387437654557,183.52202280312372,40.132881211570464,40.132881211570464,-0.016333713068674642,-0.016333713068674642,-0.016333713068674642,0.6938632187639465,0.6938632187639465,0.6938632187639465,-0.7101969318326212,-0.7101969318326212,-0.7101969318326212,0.0,0.0,0.0,40.11654749850179
2023-10-03,40.056803686567996,-77.29961939352938,199.2491628703162,40.056803686567996,40.056803686567996,23.002509788911674,23.002509788911674,23.002509788911674,24.273273499991827,24.273273499991827,24.273273499991827,-1.2707637110801522,-1.2707637110801522,-1.2707637110801522,0.0,0.0,0.0,63.05931347547967
2023-10-04,39.980726161565514,-99.6243778310934,174.830437779315,39.980726161565514,39.980726161565514,-5.499503877646022,-5.499503877646022,-5.499503877646022,-3.8651532417188776,-3.8651532417188776,-3.8651532417188776,-1.6343506359271445,-1.6343506359271445,-1.6343506359271445,0.0,0.0,0.0,34.48122228391949
2023-10-05,39.904648636563046,-105.73780721112054,171.22912002381747,39.904648636563046,39.904648636563046,-7.642940164959144,-7.642940164959144,-7.642940164959144,-5.858566260018946,-5.858566260018946,-5.858566260018946,-1.7843739049402012,-1.7843739049402012,-1.7843739049402012,0.0,0.0,0.0,32.2617084716039
2023-10-06,39.82857111156058,-107.12978013507822,174.3293094509677,39.82857111156058,39.82857111156058,-10.751899350775776,-10.751899350775776,-10.751899350775776,-9.041036667090744,-9.041036667090744,-9.041036667090744,-1.7108626836850345,-1.7108626836850345,-1.7108626836850345,0.0,0.0,0.0,29.0766717607848
2023-10-07,39.752493586558096,-106.88362839617588,181.6118202095897,39.752493586558096,39.752493586558096,-3.5470381658044,-3.5470381658044,-3.5470381658044,-2.1366068311235904,-2.1366068311235904,-2.1366068311235904,-1.4104313346808102,-1.4104313346808102,-1.4104313346808102,0.0,0.0,0.0,36.205455420753694
2023-10-08,39.67641606155563,-103.78035570123895,163.00838713956446,39.67641606155563,39.67641606155563,-4.951826029660837,-4.951826029660837,-4.951826029660837,-4.065773718764648,-4.065773718764648,-4.065773718764648,-0.8860523108961891,-0.8860523108961891,-0.8860523108961891,0.0,0.0,0.0,34.72459003189479
2023-10-09,39.60033853655316,-97.26409595128399,177.42005208515306,39.60033853655316,39.60033853655316,0.5472206053631206,0.5472206053631206,0.5472206053631206,0.6938632186933816,0.6938632186933816,0.6938632186933816,-0.14664261333026102,-0.14664261333026102,-0.14664261333026102,0.0,0.0,0.0,40.14755914191628
2023-10-10,39.524261011550685,-82.51443672616878,194.36984868496538,39.524261011550685,39.524261011550685,25.06679151516218,25.06679151516218,25.06679151516218,24.273273500009566,24.273273500009566,24.273273500009566,0.7935180151526124,0.7935180151526124,0.7935180151526124,0.0,0.0,0.0,64.59105252671287
2023-10-11,39.44818348654822,-91.94991593260539,179.42453848681055,39.44818348654822,39.44818348654822,-1.9496388859662237,-1.9496388859662237,-1.9496388859662237,-3.8651532417258787,-3.8651532417258787,-3.8651532417258787,1.9155143557596552,1.9155143557596552,1.9155143557596552,0.0,0.0,0.0,37.498544600581994
2023-10-12,39.37210596154574,-95.18494266010408,171.38341341943342,39.37210596154574,39.37210596154574,-2.6619244899757155,-2.6619244899757155,-2.6619244899757155,-5.858566259999035,-5.858566259999035,-5.858566259999035,3.19664177002332,3.19664177002332,3.19664177002332,0.0,0.0,0.0,36.710181471570024
2023-10-13,39.29602843654327,-109.50269075378881,177.7531545004098,39.29602843654327,39.29602843654327,-4.429695288142782,-4.429695288142782,-4.429695288142782,-9.041036667111996,-9.041036667111996,-9.041036667111996,4.611341378969214,4.611341378969214,4.611341378969214,0.0,0.0,0.0,34.866333148400486
2023-10-14,39.2199509115408,-86.19253191793662,189.84631687074383,39.2199509115408,39.2199509115408,3.9955858130754374,3.9955858130754374,3.9955858130754374,-2.1366068310876054,-2.1366068310876054,-2.1366068310876054,6.132192644163043,6.132192644163043,6.132192644163043,0.0,0.0,0.0,43.215536724616236
2023-10-15,39.14387338653833,-86.16272737614496,176.82527775389323,39.14387338653833,39.14387338653833,3.665156846023626,3.665156846023626,3.665156846023626,-4.065773718799668,-4.065773718799668,-4.065773718799668,7.730930564823295,7.730930564823295,7.730930564823295,0.0,0.0,0.0,42.80903023256196
2023-10-16,39.06779586153585,-86.92348266354487,183.03114198387195,39.06779586153585,39.06779586153585,10.073317866413605,10.073317866413605,10.073317866413605,0.6938632186993513,0.6938632186993513,0.6938632186993513,9.379454647714253,9.379454647714253,9.379454647714253,0.0,0.0,0.0,49.14111372794945
2023-10-17,38.99171833653339,-57.641287562133996,221.12820215433862,38.99171833653339,38.99171833653339,35.3240712415224,35.3240712415224,35.3240712415224,24.273273499996918,24.273273499996918,24.273273499996918,11.050797741525482,11.050797741525482,11.050797741525482,0.0,0.0,0.0,74.31578957805579
2023-10-18,38.91564081153091,-95.10191160464012,177.08723811354,38.91564081153091,38.91564081153091,8.854871471392114,8.854871471392114,8.854871471392114,-3.865153241747772,-3.865153241747772,-3.865153241747772,12.720024713139885,12.720024713139885,12.720024713139885,0.0,0.0,0.0,47.77051228292303
2023-10-19,38.83956328652843,-85.63508091136171,186.67052515823835,38.83956328652843,38.83956328652843,8.506467449171588,8.506467449171588,8.506467449171588,-5.858566260024298,-5.858566260024298,-5.858566260024298,14.365033709195885,14.365033709195885,14.365033709195885,0.0,0.0,0.0,47.34603073570002
2023-10-20,38.76348576152598,-96.2228600172335,174.32887577756333,38.76348576152598,38.76348576152598,6.926199629215987,6.926199629215987,6.926199629215987,-9.04103666713912,-9.04103666713912,-9.04103666713912,15.967236296355106,15.967236296355106,15.967236296355106,0.0,0.0,0.0,45.689685390741964
2023-10-21,38.687408236523495,-91.38900236265434,188.95936721641309,38.687408236523495,38.687408236523495,15.375490159964759,15.375490159964759,15.375490159964759,-2.136606831153353,-2.136606831153353,-2.136606831153353,17.512096991118113,17.512096991118113,17.512096991118113,0.0,0.0,0.0,54.06289839648825
2023-10-22,38.61133071152101,-80.89440614271452,175.69828941609882,38.61133071152101,38.61133071152101,14.923743718829463,14.923743718829463,14.923743718829463,-4.065773718739582,-4.065773718739582,-4.065773718739582,18.989517437569045,18.989517437569045,18.989517437569045,0.0,0.0,0.0,53.53507443035048
2023-10-23,38.53525318651856,-77.91667593586563,199.48806254458438,38.53525318651856,38.53525318651856,21.08791883775835,21.08791883775835,21.08791883775835,0.693863218705321,0.693863218705321,0.693863218705321,20.39405561905303,20.39405561905303,20.39405561905303,0.0,0.0,0.0,59.62317202427691
2023-10-24,38.45917566151608,-59.48984343619978,219.8683220438602,38.45917566151608,38.45917566151608,45.998249337889575,45.998249337889575,45.998249337889575,24.2732735000045,24.2732735000045,24.2732735000045,21.724975837885083,21.724975837885083,21.724975837885083,0.0,0.0,0.0,84.45742499940565
2023-10-25,38.383098136513595,-74.61728314688641,187.9831765490917,38.383098136513595,38.383098136513595,19.120977358032494,19.120977358032494,19.120977358032494,-3.865153241769667,-3.865153241769667,-3.865153241769667,22.98613059980216,22.98613059980216,22.98613059980216,0.0,0.0,0.0,57.504075494546086
2023-10-26,38.30702061151114,-80.53608446786751,203.92165423730032,38.30702061151114,38.30702061151114,18.32711457407432,18.32711457407432,18.32711457407432,-5.858566260004388,-5.858566260004388,-5.858566260004388,24.185680834078706,24.185680834078706,24.185680834078706,0.0,0.0,0.0,56.634135185585464
2023-10-27,38.23094308650866,-77.53590696773196,195.10116290238358,38.23094308650866,38.23094308650866,16.2946292377936,16.2946292377936,16.2946292377936,-9.041036667122134,-9.041036667122134,-9.041036667122134,25.335665904915732,25.335665904915732,25.335665904915732,0.0,0.0,0.0,54.52557232430226
2023-10-28,38.154865561506206,-69.42397749516809,190.45326809637942,38.154865561506206,38.154865561506206,24.314832645714503,24.314832645714503,24.314832645714503,-2.1366068311173687,-2.1366068311173687,-2.1366068311173687,26.451439476831876,26.451439476831876,26.451439476831876,0.0,0.0,0.0,62.46969820722071
2023-10-29,38.078788036503724,-93.7243342806953,195.0486260977596,38.078788036503724,38.078788036503724,23.485217631000207,23.485217631000207,23.485217631000207,-4.065773718774603,-4.065773718774603,-4.065773718774603,27.55099134977481,27.55099134977481,27.55099134977481,0.0,0.0,0.0,61.564005667503935
2023-10-30,38.00271051150124,-67.81975986666879,211.9333755096717,38.00271051150124,38.00271051150124,29.348041980840893,29.348041980840893,29.348041980840893,0.6938632187112922,0.6938632187112922,0.6938632187112922,28.654178762129597,28.654178762129597,28.654178762129597,0.0,0.0,0.0,67.35075249234214
2023-10-31,37.92663298649879,-45.22172507558695,234.12091754106666,37.92663298649879,37.92663298649879,54.05516677575212,54.05516677575212,54.05516677575212,24.273273499991852,24.273273499991852,24.273273499991852,29.78189327576028,29.78189327576028,29.78189327576028,0.0,0.0,0.0,91.98179976225092
2023-11-01,37.850555461496306,-64.64875306010123,203.8053534931412,37.850555461496306,37.850555461496306,27.09003789289428,27.09003789289428,27.09003789289428,-3.865153241776668,-3.865153241776668,-3.865153241776668,30.955191134670947,30.955191134670947,30.955191134670947,0.0,0.0,0.0,64.94059335439059
2023-11-02,37.77447793649383,-75.44568062714671,196.94511175305823,37.77447793649383,37.77447793649383,26.335849623297314,26.335849623297314,26.335849623297314,-5.858566260041697,-5.858566260041697,-5.858566260041697,32.19441588333901,32.19441588333901,32.19441588333901,0.0,0.0,0.0,64.11032755979114
