ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-04-15,100.35350120373141,-135.28086180446658,237.1051374574498,100.35350120373141,100.35350120373141,-48.409020845177864,-48.409020845177864,-48.409020845177864,-10.48296425004862,-10.48296425004862,-10.48296425004862,-37.926056595129246,-37.926056595129246,-37.926056595129246,0.0,0.0,0.0,51.94448035855355
2021-04-16,100.33439712873798,-133.8697371407117,246.0886256410444,100.33439712873798,100.33439712873798,-50.20916634269359,-50.20916634269359,-50.20916634269359,-13.689580597804824,-13.689580597804824,-13.689580597804824,-36.51958574488877,-36.51958574488877,-36.51958574488877,0.0,0.0,0.0,50.12523078604438
2021-04-17,100.31529305374453,-110.08662042983775,257.97925013282156,100.31529305374453,100.31529305374453,-27.320458401951356,-27.320458401951356,-27.320458401951356,7.5291110386240145,7.5291110386240145,7.5291110386240145,-34.84956944057537,-34.84956944057537,-34.84956944057537,0.0,0.0,0.0,72.99483465179317
2021-04-18,100.29618897875109,-118.91940481462231,257.0588770046914,100.29618897875109,100.29618897875109,-30.224800069506035,-30.224800069506035,-30.224800069506035,2.732982072496073,2.732982072496073,2.732982072496073,-32.95778214200211,-32.95778214200211,-32.95778214200211,0.0,0.0,0.0,70.07138890924506
2021-04-19,100.27708490375765,-129.40977949762177,256.73884024965116,100.27708490375765,100.27708490375765,-40.1337193165802,-40.1337193165802,-40.1337193165802,-9.24023242869414,-9.24023242869414,-9.24023242869414,-30.89348688788606,-30.89348688788606,-30.89348688788606,0.0,0.0,0.0,60.143365587177456
2021-04-20,100.25798082876422,-99.3274242699726,276.30486455098304,100.25798082876422,100.25798082876422,-2.11778089538785,-2.11778089538785,-2.11778089538785,26.594201796492737,26.594201796492737,26.594201796492737,-28.711982691880586,-28.711982691880586,-28.711982691880586,0.0,0.0,0.0,98.14019993337637
2021-04-21,100.23887675377078,-115.1326679903531,260.2768962213523,100.23887675377078,100.23887675377078,-29.916465621878178,-29.916465621878178,-29.916465621878178,-3.44351763101708,-3.44351763101708,-3.44351763101708,-26.472947990861094,-26.472947990861094,-26.472947990861094,0.0,0.0,0.0,70.32241113189261
2021-04-22,100.21977267877735,-112.18486244966239,260.96700327883354,100.21977267877735,100.21977267877735,-34.721592112428816,-34.721592112428816,-34.721592112428816,-10.482964250021302,-10.482964250021302,-10.482964250021302,-24.23862786240751,-24.23862786240751,-24.23862786240751,0.0,0.0,0.0,65.49818056634854
2021-04-23,100.20066860378391,-112.0417188258136,248.23628294523476,100.20066860378391,100.20066860378391,-35.761498423964525,-35.761498423964525,-35.761498423964525,-13.68958059783907,-13.68958059783907,-13.68958059783907,-22.07191782612545,-22.07191782612545,-22.07191782612545,0.0,0.0,0.0,64.43917017981938
2021-04-24,100.18156452879049,-105.40566476212747,279.4456443605353,100.18156452879049,100.18156452879049,-12.505289580977081,-12.505289580977081,-12.505289580977081,7.529111038597838,7.529111038597838,7.529111038597838,-20.034400619574917,-20.034400619574917,-20.034400619574917,0.0,0.0,0.0,87.67627494781341
2021-04-25,100.16246045379704,-100.02794095486333,266.3845885842927,100.16246045379704,100.16246045379704,-15.451412205636242,-15.451412205636242,-15.451412205636242,2.7329820724355094,2.7329820724355094,2.7329820724355094,-18.18439427807175,-18.18439427807175,-18.18439427807175,0.0,0.0,0.0,84.7110482481608
2021-04-26,100.1433563788036,-119.75016157581342,257.3820097418902,100.1433563788036,100.1433563788036,-25.815302512207136,-25.815302512207136,-25.815302512207136,-9.24023242873904,-9.24023242873904,-9.24023242873904,-16.5750700834681,-16.5750700834681,-16.5750700834681,0.0,0.0,0.0,74.32805386659646
