ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-04,110.92257750000002,-20.16335273378961,250.60717174087344,110.92257750000002,110.92257750000002,6.4657192474967475,6.4657192474967475,6.4657192474967475,-2.13660683113235,-2.13660683113235,-2.13660683113235,8.602326078629098,8.602326078629098,8.602326078629098,0.0,0.0,0.0,117.38829674749677
2020-01-05,110.98644368627318,-34.28821063915164,261.42836922474163,110.98644368627318,110.98644368627318,2.0133786311086803,2.0133786311086803,2.0133786311086803,-4.065773718742583,-4.065773718742583,-4.065773718742583,6.079152349851262,6.079152349851262,6.079152349851262,0.0,0.0,0.0,112.99982231738186
2020-01-06,111.05030987254634,-14.333907390289532,258.4918529810879,111.05030987254634,111.05030987254634,4.218881530741892,4.218881530741892,4.218881530741892,0.6938632187115653,0.6938632187115653,0.6938632187115653,3.5250183120303267,3.5250183120303267,3.5250183120303267,0.0,0.0,0.0,115.26919140328823
2020-01-07,111.1141760588195,-2.98885437058423,274.7158438234108,111.1141760588195,111.1141760588195,25.235328027817886,25.235328027817886,25.235328027817886,24.27327350001834,24.27327350001834,24.27327350001834,0.9620545277995453,0.9620545277995453,0.9620545277995453,0.0,0.0,0.0,136.34950408663738
2020-01-09,111.24190843136583,-34.732737831614806,246.93912495273034,111.24190843136583,111.24190843136583,-9.951226992339969,-9.951226992339969,-9.951226992339969,-5.858566260002891,-5.858566260002891,-5.858566260002891,-4.092660732337078,-4.092660732337078,-4.092660732337078,0.0,0.0,0.0,101.29068143902586
2020-01-10,111.30577461763899,-39.72258220264488,244.8312847152261,111.30577461763899,111.30577461763899,-15.574155514984714,-15.574155514984714,-15.574155514984714,-9.041036667167594,-9.041036667167594,-9.041036667167594,-6.53311884781712,-6.53311884781712,-6.53311884781712,0.0,0.0,0.0,95.73161910265428
2020-01-11,111.36964080391216,-36.24786076935356,242.39988617257598,111.36964080391216,111.36964080391216,-11.01795846947512,-11.01795846947512,-11.01795846947512,-2.136606831096363,-2.136606831096363,-2.136606831096363,-8.881351638378757,-8.881351638378757,-8.881351638378757,0.0,0.0,0.0,100.35168233443704
2020-01-12,111.43350699018532,-38.100388378177826,227.25778644625873,111.43350699018532,111.43350699018532,-15.178516661564919,-15.178516661564919,-15.178516661564919,-4.065773718730052,-4.065773718730052,-4.065773718730052,-11.112742942834867,-11.112742942834867,-11.112742942834867,0.0,0.0,0.0,96.25499032862041
2020-01-13,111.49737317645848,-45.78085710301562,240.89210707502914,111.49737317645848,111.49737317645848,-12.51061812996594,-12.51061812996594,-12.51061812996594,0.6938632187523568,0.6938632187523568,0.6938632187523568,-13.204481348718295,-13.204481348718295,-13.204481348718295,0.0,0.0,0.0,98.98675504649255
2020-01-14,111.56123936273165,-13.469630581449898,251.0012726484027,111.56123936273165,111.56123936273165,9.136992641118093,9.136992641118093,9.136992641118093,24.273273500005693,24.273273500005693,24.273273500005693,-15.1362808588876,-15.1362808588876,-15.1362808588876,0.0,0.0,0.0,120.69823200384975
2020-01-16,111.68897173527797,-41.07663125371088,229.61747686842872,111.68897173527797,111.68897173527797,-24.313941529290453,-24.313941529290453,-24.313941529290453,-5.8585662600115915,-5.8585662600115915,-5.8585662600115915,-18.455375269278864,-18.455375269278864,-18.455375269278864,0.0,0.0,0.0,87.37503020598751
2020-01-17,111.75283792155113,-56.41885586006294,220.6850269377892,111.75283792155113,111.75283792155113,-28.86117596290066,-28.86117596290066,-28.86117596290066,-9.0410366670624,-9.0410366670624,-9.0410366670624,-19.820139295838256,-19.820139295838256,-19.820139295838256,0.0,0.0,0.0,82.89166195865047
2020-01-18,111.81670410782431,-49.622098141779716,232.46496538556082,111.81670410782431,111.81670410782431,-23.117300516759784,-23.117300516759784,-23.117300516759784,-2.1366068311621134,-2.1366068311621134,-2.1366068311621134,-20.980693685597668,-20.980693685597668,-20.980693685597668,0.0,0.0,0.0,88.69940359106452
2020-01-19,111.88057029409747,-57.53110959810596,223.51729481553224,111.88057029409747,111.88057029409747,-26.002913514724078,-26.002913514724078,-26.002913514724078,-4.065773718765071,-4.065773718765071,-4.065773718765071,-21.93713979595901,-21.93713979595901,-21.93713979595901,0.0,0.0,0.0,85.87765677937338
2020-01-20,111.94443648037063,-51.008182661532906,226.25430696121504,111.94443648037063,111.94443648037063,-22.00050791250654,-22.00050791250654,-22.00050791250654,0.693863218758325,0.693863218758325,0.693863218758325,-22.694371131264866,-22.694371131264866,-22.694371131264866,0.0,0.0,0.0,89.94392856786409
2020-01-21,112.0083026666438,-31.386361010724983,254.7238079627697,112.0083026666438,112.0083026666438,1.011286293029961,1.011286293029961,1.011286293029961,24.273273499993046,24.273273499993046,24.273273499993046,-23.261987206963084,-23.261987206963084,-23.261987206963084,0.0,0.0,0.0,113.01958895967375
2020-01-23,112.13603503919012,-48.739781111602554,226.45660360417463,112.13603503919012,112.13603503919012,-29.747353596949843,-29.747353596949843,-29.747353596949843,-5.858566260020293,-5.858566260020293,-5.858566260020293,-23.888787336929546,-23.888787336929546,-23.888787336929546,0.0,0.0,0.0,82.38868144224028
2020-01-24,112.1999012254633,-58.28100706361473,200.4400484288396,112.1999012254633,112.1999012254633,-33.028994137493115,-33.028994137493115,-33.028994137493115,-9.041036667089523,-9.041036667089523,-9.041036667089523,-23.98795747040359,-23.98795747040359,-23.98795747040359,0.0,0.0,0.0,79.17090708797018
