ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-09-14,184.82628102779861,-84.29491804559434,428.1890264136333,184.82628102779861,184.82628102779861,-9.537768374950238,-9.537768374950238,-9.537768374950238,-5.894757079395572,-5.894757079395572,-5.894757079395572,-3.643011295554665,-3.643011295554665,-3.643011295554665,0.0,0.0,0.0,175.28851265284837
2020-09-15,184.9681725834497,-44.607188895561194,438.83271814840884,184.9681725834497,184.9681725834497,11.8557183377495,11.8557183377495,11.8557183377495,12.87424655245817,12.87424655245817,12.87424655245817,-1.0185282147086685,-1.0185282147086685,-1.0185282147086685,0.0,0.0,0.0,196.8238909211992
2020-09-16,185.11006413910073,-19.601665889477157,460.83557031933645,185.11006413910073,185.11006413910073,37.618792624646424,37.618792624646424,37.618792624646424,36.23328942453025,36.23328942453025,36.23328942453025,1.3855032001161727,1.3855032001161727,1.3855032001161727,0.0,0.0,0.0,222.72885676374716
2020-09-18,185.39384725040287,-81.4739398911742,415.7951548042781,185.39384725040287,185.39384725040287,-23.91553830197085,-23.91553830197085,-23.91553830197085,-29.268071787440146,-29.268071787440146,-29.268071787440146,5.352533485469293,5.352533485469293,5.352533485469293,0.0,0.0,0.0,161.47830894843202
2020-09-19,185.5357388060539,-41.448202224564376,425.61144545186005,185.5357388060539,185.5357388060539,7.275741001111506,7.275741001111506,7.275741001111506,0.4273889275128611,0.4273889275128611,0.4273889275128611,6.848352073598644,6.848352073598644,6.848352073598644,0.0,0.0,0.0,192.8114798071654
2020-09-20,185.67763036170498,-47.16659328535198,429.047632759434,185.67763036170498,185.67763036170498,3.2556966904848488,3.2556966904848488,3.2556966904848488,-4.7352349374442575,-4.7352349374442575,-4.7352349374442575,7.990931627929106,7.990931627929106,7.990931627929106,0.0,0.0,0.0,188.93332705218984
2020-09-21,185.81952191735604,-57.08157957511486,426.51804628445,185.81952191735604,185.81952191735604,2.877653668032728,2.877653668032728,2.877653668032728,-5.894757079391908,-5.894757079391908,-5.894757079391908,8.772410747424637,8.772410747424637,8.772410747424637,0.0,0.0,0.0,188.69717558538878
2020-09-22,185.96141347300713,-33.67286209923365,457.32682972512424,185.96141347300713,185.96141347300713,22.069926081821578,22.069926081821578,22.069926081821578,12.874246552503575,12.874246552503575,12.874246552503575,9.195679529318003,9.195679529318003,9.195679529318003,0.0,0.0,0.0,208.03133955482872
2020-09-23,186.10330502865818,4.694546754075778,486.2314749044115,186.10330502865818,186.10330502865818,45.50748544582249,45.50748544582249,45.50748544582249,36.233289424482514,36.233289424482514,36.233289424482514,9.274196021339975,9.274196021339975,9.274196021339975,0.0,0.0,0.0,231.61079047448067
2020-09-25,186.3870881399603,-70.63292199566826,419.3802529075476,186.3870881399603,186.3870881399603,-20.767445104334456,-20.767445104334456,-20.767445104334456,-29.268071787486402,-29.268071787486402,-29.268071787486402,8.500626683151948,8.500626683151948,8.500626683151948,0.0,0.0,0.0,165.61964303562584
