ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-08-24,146.41001634279488,47.503762299334376,267.66863529096713,146.41001634279488,146.41001634279488,9.198873065176471,9.198873065176471,9.198873065176471,6.479381230749752,6.479381230749752,6.479381230749752,2.7194918344267176,2.7194918344267176,2.7194918344267176,0.0,0.0,0.0,155.60888940797133
2020-08-25,146.22001503946134,56.15638799077734,282.9441127151007,146.22001503946134,146.22001503946134,22.461200370879496,22.461200370879496,22.461200370879496,21.76612057951013,21.76612057951013,21.76612057951013,0.6950797913693665,0.6950797913693665,0.6950797913693665,0.0,0.0,0.0,168.68121541034083
2020-08-26,146.03001373612787,32.72606311968689,249.52617633926968,146.03001373612787,146.03001373612787,-6.818590546871413,-6.818590546871413,-6.818590546871413,-5.357455463980218,-5.357455463980218,-5.357455463980218,-1.461135082891196,-1.461135082891196,-1.461135082891196,0.0,0.0,0.0,139.21142318925646
2020-08-28,145.6500111294609,15.634538131819236,230.41280414713316,145.6500111294609,145.6500111294609,-23.074540163673362,-23.074540163673362,-23.074540163673362,-17.097919195226645,-17.097919195226645,-17.097919195226645,-5.976620968446719,-5.976620968446719,-5.976620968446719,0.0,0.0,0.0,122.57547096578753
2020-08-30,145.27000852279392,32.2935373419401,247.15490551530155,145.27000852279392,145.27000852279392,-9.43842926186855,-9.43842926186855,-9.43842926186855,0.9802082126591467,0.9802082126591467,0.9802082126591467,-10.418637474527698,-10.418637474527698,-10.418637474527698,0.0,0.0,0.0,135.83157926092537
2020-08-31,145.0800072194604,26.42567655698297,249.62637616343244,145.0800072194604,145.0800072194604,-6.000229355423923,-6.000229355423923,-6.000229355423923,6.479381230654045,6.479381230654045,6.479381230654045,-12.479610586077968,-12.479610586077968,-12.479610586077968,0.0,0.0,0.0,139.0797778640365
2020-09-01,144.89000591612694,47.484804557865054,267.8082859615224,144.89000591612694,144.89000591612694,7.401660415179676,7.401660415179676,7.401660415179676,21.766120579550016,21.766120579550016,21.766120579550016,-14.364460164370342,-14.364460164370342,-14.364460164370342,0.0,0.0,0.0,152.2916663313066
2020-09-02,144.70000461279346,16.18044684526078,234.25498506354782,144.70000461279346,144.70000461279346,-21.38124532798733,-21.38124532798733,-21.38124532798733,-5.357455463986542,-5.357455463986542,-5.357455463986542,-16.023789864000786,-16.023789864000786,-16.023789864000786,0.0,0.0,0.0,123.31875928480613
2020-09-04,144.32000200612646,-8.149300992434181,220.0700553524873,144.32000200612646,144.32000200612646,-35.58429313431336,-35.58429313431336,-35.58429313431336,-17.097919195238738,-17.097919195238738,-17.097919195238738,-18.48637393907463,-18.48637393907463,-18.48637393907463,0.0,0.0,0.0,108.7357088718131
2020-09-05,144.13000070279298,15.684797674923471,239.01201503754672,144.13000070279298,144.13000070279298,-15.830761375134866,-15.830761375134866,-15.830761375134866,3.3810498363133465,3.3810498363133465,3.3810498363133465,-19.21181121144821,-19.21181121144821,-19.21181121144821,0.0,0.0,0.0,128.2992393276581
