ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-04,34137.976319500005,3403.3888461324923,99431.64147226884,34137.976319500005,34137.976319500005,17569.27433741096,17569.27433741096,17569.27433741096,-772.0003667923129,-772.0003667923129,-772.0003667923129,18341.274704203275,18341.274704203275,18341.274704203275,0.0,0.0,0.0,51707.25065691097
2020-01-05,34160.50973359822,3870.740188541981,102908.81974963583,34160.50973359822,34160.50973359822,17344.32152833221,17344.32152833221,17344.32152833221,48.92154077919138,48.92154077919138,48.92154077919138,17295.39998755302,17295.39998755302,17295.39998755302,0.0,0.0,0.0,51504.831261930434
2020-01-06,34183.04314769644,-357.60454856166956,98582.72171586433,34183.04314769644,34183.04314769644,15753.915603355143,15753.915603355143,15753.915603355143,-461.04087762865953,-461.04087762865953,-461.04087762865953,16214.956480983805,16214.956480983805,16214.956480983805,0.0,0.0,0.0,49936.95875105158
2020-01-07,34205.57656179465,11069.403706832401,105313.83392872187,34205.57656179465,34205.57656179465,21907.82275756627,21907.82275756627,21907.82275756627,6799.153548431443,6799.153548431443,6799.153548431443,15108.66920913483,15108.66920913483,15108.66920913483,0.0,0.0,0.0,56113.39931936092
2020-01-09,34250.643389991084,-2315.5340865756516,96366.1039194822,34250.643389991084,34250.643389991084,11536.190857577885,11536.190857577885,11536.190857577885,-1319.503083740317,-1319.503083740317,-1319.503083740317,12855.693941318203,12855.693941318203,12855.693941318203,0.0,0.0,0.0,45786.83424756897
2020-01-10,34273.1768040893,-6952.645184880682,89874.99158360445,34273.1768040893,34273.1768040893,6496.787374635778,6496.787374635778,6496.787374635778,-5230.980574738143,-5230.980574738143,-5230.980574738143,11727.767949373922,11727.767949373922,11727.767949373922,0.0,0.0,0.0,40769.96417872508
2020-01-11,34295.710218187516,-7517.894943452489,90369.63837397035,34295.710218187516,34295.710218187516,9838.924794698978,9838.924794698978,9838.924794698978,-772.000366779044,-772.000366779044,-772.000366779044,10610.92516147802,10610.92516147802,10610.92516147802,0.0,0.0,0.0,44134.635012886494
2020-01-12,34318.243632285725,-4422.907887297866,96305.5852308191,34318.243632285725,34318.243632285725,9562.351818431573,9562.351818431573,9562.351818431573,48.92154078246052,48.92154078246052,48.92154078246052,9513.430277649111,9513.430277649111,9513.430277649111,0.0,0.0,0.0,43880.5954507173
2020-01-13,34340.77704638394,-5099.940974679424,91123.04489284544,34340.77704638394,34340.77704638394,7981.597695270829,7981.597695270829,7981.597695270829,-461.04087761729676,-461.04087761729676,-461.04087761729676,8442.638572888127,8442.638572888127,8442.638572888127,0.0,0.0,0.0,42322.37474165477
2020-01-14,34363.31046048216,-2947.8959616827447,97504.07722625305,34363.31046048216,34363.31046048216,14203.944569709478,14203.944569709478,14203.944569709478,6799.153548428796,6799.153548428796,6799.153548428796,7404.791021280682,7404.791021280682,7404.791021280682,0.0,0.0,0.0,48567.255030191634
2020-01-16,34408.37728867859,-6838.136852246896,91882.55141155989,34408.37728867859,34408.37728867859,4126.892324978789,4126.892324978789,4126.892324978789,-1319.5030837455286,-1319.5030837455286,-1319.5030837455286,5446.395408724317,5446.395408724317,5446.395408724317,0.0,0.0,0.0,38535.26961365738
2020-01-17,34430.910702776804,-15777.529856809777,83178.55939618486,34430.910702776804,34430.910702776804,-699.4423298447642,-699.4423298447642,-699.4423298447642,-5230.980574707861,-5230.980574707861,-5230.980574707861,4531.538244863097,4531.538244863097,4531.538244863097,0.0,0.0,0.0,33731.46837293204
2020-01-18,34453.44411687502,-13093.104147391869,86389.05730511984,34453.44411687502,34453.44411687502,2888.929139169629,2888.929139169629,2888.929139169629,-772.0003667962778,-772.0003667962778,-772.0003667962778,3660.929505965907,3660.929505965907,3660.929505965907,0.0,0.0,0.0,37342.37325604465
2020-01-19,34475.977530973236,-10086.467552949702,79230.78896978045,34475.977530973236,34475.977530973236,2882.709092359261,2882.709092359261,2882.709092359261,48.921540771028226,48.921540771028226,48.921540771028226,2833.787551588233,2833.787551588233,2833.787551588233,0.0,0.0,0.0,37358.6866233325
2020-01-20,34498.51094507145,-12516.088613623897,85424.69016041892,34498.51094507145,34498.51094507145,1586.9470158430713,1586.9470158430713,1586.9470158430713,-461.040877617175,-461.040877617175,-461.040877617175,2047.9878934602466,2047.9878934602466,2047.9878934602466,0.0,0.0,0.0,36085.45796091452
2020-01-21,34521.04435916967,-8921.869325779613,92642.97445030457,34521.04435916967,34521.04435916967,8099.350146630084,8099.350146630084,8099.350146630084,6799.15354842615,6799.15354842615,6799.15354842615,1300.196598203934,1300.196598203934,1300.196598203934,0.0,0.0,0.0,42620.39450579975
2020-01-23,34566.1111873661,-12736.580282816998,83435.4772224697,34566.1111873661,34566.1111873661,-1419.166685317502,-1419.166685317502,-1419.166685317502,-1319.5030837507397,-1319.5030837507397,-1319.5030837507397,-99.66360156676188,-99.66360156676188,-99.66360156676188,0.0,0.0,0.0,33146.944502048595
2020-01-24,34588.644601464315,-21824.71340872348,78666.43963742747,34588.644601464315,34588.644601464315,-5993.693713393884,-5993.693713393884,-5993.693713393884,-5230.98057471592,-5230.98057471592,-5230.98057471592,-762.7131386779643,-762.7131386779643,-762.7131386779643,0.0,0.0,0.0,28594.95088807043
2020-01-25,34611.17801556253,-16897.539347876405,85037.6607395407,34611.17801556253,34611.17801556253,-2181.2239495511117,-2181.2239495511117,-2181.2239495511117,-772.0003667830086,-772.0003667830086,-772.0003667830086,-1409.2235827681031,-1409.2235827681031,-1409.2235827681031,0.0,0.0,0.0,32429.954066011418
2020-01-26,34633.71142966074,-15701.51020271159,83202.12671093395,34633.71142966074,34633.71142966074,-1996.460845214876,-1996.460845214876,-1996.460845214876,48.92154077472291,48.92154077472291,48.92154077472291,-2045.382385989599,-2045.382385989599,-2045.382385989599,0.0,0.0,0.0,32637.250584445865
2020-01-27,34656.244843758956,-18816.567032899253,83993.86669097854,34656.244843758956,34656.244843758956,-3138.2177635618295,-3138.2177635618295,-3138.2177635618295,-461.0408776170533,-461.0408776170533,-461.0408776170533,-2677.1768859447766,-2677.1768859447766,-2677.1768859447766,0.0,0.0,0.0,31518.027080197127
2020-01-28,34678.77825785717,-11509.23447418965,87688.47092858593,34678.77825785717,34678.77825785717,3489.020033065226,3489.020033065226,3489.020033065226,6799.153548434611,6799.153548434611,6799.153548434611,-3310.1335153693853,-3310.1335153693853,-3310.1335153693853,0.0,0.0,0.0,38167.798290922394
2020-01-30,34723.8450860536,-20278.489172379377,82777.31844965462,34723.8450860536,34723.8450860536,-5917.392588503537,-5917.392588503537,-5917.392588503537,-1319.5030837481743,-1319.5030837481743,-1319.5030837481743,-4597.889504755362,-4597.889504755362,-4597.889504755362,0.0,0.0,0.0,28806.452497550068
2020-01-31,34746.37850015182,-27630.670528712886,73331.97658708571,34746.37850015182,34746.37850015182,-10490.342338795343,-10490.342338795343,-10490.342338795343,-5230.98057472118,-5230.98057472118,-5230.98057472118,-5259.361764074162,-5259.361764074162,-5259.361764074162,0.0,0.0,0.0,24256.036161356475
2020-02-01,34768.911914250035,-21916.288889544725,82541.0977706197,34768.911914250035,34768.911914250035,-6707.001872138952,-6707.001872138952,-6707.001872138952,-772.0003667697412,-772.0003667697412,-772.0003667697412,-5935.0015053692105,-5935.0015053692105,-5935.0015053692105,0.0,0.0,0.0,28061.91004211108
